Tahun,Diploma / D3,SD,SMA,SMK,SMP,Tidak Sekolah,Tidak Tamat SD,Universitas / S1+
1986,41960.0,371990.0,544090.0,297706.0,316344.0,52166.0,161626.0,31790.0
1987,48328.0,340684.0,611958.0,293708.0,269332.0,47944.0,155456.0,52097.0
1988,55265.0,343563.0,687929.0,385943.0,333506.0,41695.0,128880.0,63937.0
1989,57413.0,362478.0,717803.0,377631.0,331783.0,21424.0,108619.0,61007.0
1990,59972.0,345319.0,642881.0,337739.0,313481.0,36387.0,116095.0,59926.0
1991,60778.0,378716.0,662848.0,330827.0,359134.0,30354.0,90554.0,78904.0
1992,62076.0,377586.0,744383.0,362543.0,348089.0,24506.0,118318.0,98520.0
1993,77183.0,421822.0,748491.0,349988.0,356418.0,23104.0,92356.0,129848.0
1994,137075.0,702377.0,1208069.0,597287.0,621563.0,36516.0,162386.0,171659.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,158376.0,832125.0,1358456.0,697782.0,776825.0,41516.0,171657.0,238677.0
1997,141506.0,759190.0,1398064.0,699659.0,733911.0,27675.0,187769.0,236197.0
1998,175417.0,909479.0,1616700.0,851902.0,983145.0,31779.0,223029.0,253809.0
1999,243926.0,1151252.0,1891962.0,994254.0,1159478.0,31962.0,246538.0,310947.0
2000,184690.0,1216976.0,1894986.0,651369.0,1367892.0,29010.0,192232.0,276076.0
2001,251134.0,1893565.0,1881578.0,1051912.0,1786317.0,278329.0,573097.0,289099.0
2002,250426.0,2353330.0,2138263.0,1105867.0,2146495.0,214740.0,653568.0,269415.0
2003,202809.0,2495928.0,2435819.0,1037103.0,2458913.0,352518.0,710354.0,245857.0
2004,237251.0,2275281.0,2441161.0,1254343.0,2690912.0,336027.0,668269.0,348107.0
2005,322836.0,2540977.0,2680752.0,1230750.0,2680810.0,342656.0,670055.0,385418.0
2006,297185.0,2675459.0,2842876.0,1204140.0,2860007.0,234465.0,614960.0,375601.0
2007,330316.0,2753548.0,2630360.0,1114675.0,2643062.0,145750.0,520316.0,409890.0
2008,519867.0,2216748.0,2204377.0,1165582.0,2166619.0,79764.0,448431.0,626202.0
2009,486399.0,2143747.0,2133627.0,1337586.0,2054682.0,60347.0,415955.0,626621.0
2010,538186.0,1522465.0,2111256.0,1336881.0,1657452.0,59066.0,547164.0,820020.0
2011,469009.0,1291733.0,2385938.0,1109511.0,1834632.0,93956.0,559661.0,635442.0
2012,258385.0,1418683.0,2043697.0,1018465.0,1736670.0,126972.0,601753.0,553206.0
2013,197270.0,1421873.0,1874799.0,864649.0,1821429.0,112435.0,523400.0,425042.0
2014,195258.0,1374822.0,1893509.0,847365.0,1693203.0,134040.0,610574.0,398298.0
2015,254312.0,1320392.0,1762411.0,1174366.0,1650387.0,124303.0,603194.0,565402.0
2016,249362.0,1218954.0,1546699.0,1348327.0,1313815.0,94293.0,557418.0,695304.0
2017,249705.0,1292234.0,1552894.0,1383022.0,1281240.0,92331.0,546897.0,606939.0
2018,304744.0,975661.0,1672601.0,1445340.0,1265421.0,43740.0,452326.0,803624.0
2019,274377.0,965641.0,1690527.0,1397281.0,1235199.0,36422.0,443495.0,855854.0
2020,267583.0,1006744.0,1748834.0,1443522.0,1251352.0,35761.0,346778.0,824912.0
2021,254457.0,1219494.0,2305093.0,2089137.0,1515089.0,20461.0,342734.0,999543.0
2022,235359.0,1230914.0,2251558.0,1876661.0,1460221.0,24852.0,437819.0,884769.0
2023,191681.0,1218926.0,2216001.0,1666493.0,1445701.0,42436.0,454305.0,753732.0
2024,173846.0,857486.0,2107781.0,1621672.0,1154255.0,13598.0,394364.0,871860.0
